CountryName,subset,question_code,question_label,answer,percentage,CountryID
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35.0,AT
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60.0,AT
Austria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5.0,AT
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,48.0,BE
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,37.0,BE
Belgium,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,15.0,BE
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12.0,BG
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,75.0,BG
Bulgaria,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,13.0,BG
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,20.0,CY
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52.0,CY
Cyprus,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,28.0,CY
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,33.0,CZ
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,62.0,CZ
Czech Republic,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5.0,CZ
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47.0,DE
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,49.0,DE
Germany,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,4.0,DE
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,41.0,DK
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,55.0,DK
Denmark,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3.0,DK
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29.0,EE
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58.0,EE
Estonia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12.0,EE
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,12.0,GR
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52.0,GR
Greece,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,36.0,GR
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,32.0,ES
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,58.0,ES
Spain,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10.0,ES
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47.0,FI
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,51.0,FI
Finland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2.0,FI
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,40.0,FR
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,52.0,FR
France,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,8.0,FR
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,16.0,HR
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74.0,HR
Croatia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10.0,HR
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,34.0,HU
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,54.0,HU
Hungary,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,12.0,HU
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47.0,IE
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,50.0,IE
Ireland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,2.0,IE
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,24.0,IT
