,question_code,answer,question_label
0,c10,Difficulty in gaining access to healthcare,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
1,c10,Foregoing treatment for fear of discrimination or intolerant reactions,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
2,c10,Having to change general practitioners or other specialists due to their negative reaction,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
3,c10,I have never accessed healthcare services,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
4,c10,Inappropriate curiosity,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
5,c10,None of the above,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
6,c10,Pressure or being forced to undergo any medical or psychological test,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
7,c10,Receiving unequal treatment when dealing with medical staff,"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
8,c10,Specific needs ignored (not taken into account),"Have you ever experienced any of the following situations when using or trying to access healthcare services as a L, G, B or T person?"
9,c2_b,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of gender?"
10,c2_b,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of gender?"
11,c2_b,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of gender?"
12,c2_c,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of sexual orientation?"
13,c2_c,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of sexual orientation?"
14,c2_c,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed on the grounds of sexual orientation?"
15,c2a_a,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Lesbian?"
16,c2a_a,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Lesbian?"
17,c2a_a,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Lesbian?"
18,c2a_b,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Gay?"
19,c2a_b,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Gay?"
20,c2a_b,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Gay?"
21,c2a_c,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Bisexual?"
22,c2a_c,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Bisexual?"
23,c2a_c,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Bisexual?"
24,c2a_d,Don`t know,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Transgender?"
25,c2a_d,No,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Transgender?"
26,c2a_d,Yes,"In the last 12 months, in the country where you live, have you personally felt discriminated against or harassed because of being perceived as Transgender?"
27,c4_a,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *"
28,c4_a,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *"
29,c4_a,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *"
30,c4_b,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at work?"
31,c4_b,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at work?"
32,c4_b,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at work?"
