,question_code,answer,question_label
0,tr1,Don`t know,Have you ever sought psychological or medical help for being a transgender person?
1,tr1,No,Have you ever sought psychological or medical help for being a transgender person?
2,tr1,Yes,Have you ever sought psychological or medical help for being a transgender person?
3,tr2,I am afraid of prejudice from the care providers,Why haven`t you ever sought psychological or medical help for being a transgender person?
4,tr2,I cannot afford it due to financial reasons,Why haven`t you ever sought psychological or medical help for being a transgender person?
5,tr2,I do not dare to,Why haven`t you ever sought psychological or medical help for being a transgender person?
6,tr2,I do not have confidence in the services provided,Why haven`t you ever sought psychological or medical help for being a transgender person?
7,tr2,I do not know where to go,Why haven`t you ever sought psychological or medical help for being a transgender person?
8,tr2,I do not want / need help,Why haven`t you ever sought psychological or medical help for being a transgender person?
9,tr2,I have had previous bad experiences with care providers,Why haven`t you ever sought psychological or medical help for being a transgender person?
10,tr2,It is not available in the country where you live,Why haven`t you ever sought psychological or medical help for being a transgender person?
11,tr2,It is not covered by my country`s public health insurance,Why haven`t you ever sought psychological or medical help for being a transgender person?
12,tr2,It is too complicated in terms of bureaucracy,Why haven`t you ever sought psychological or medical help for being a transgender person?
13,tr2,It takes too much time (including waiting lists),Why haven`t you ever sought psychological or medical help for being a transgender person?
14,tr2,Other,Why haven`t you ever sought psychological or medical help for being a transgender person?
15,tr3,A) Did not seem to want to help me,From whom did you seek help and what was the outcome? *
16,tr3,A) Does not apply to me,From whom did you seek help and what was the outcome? *
17,tr3,A) Refused to help me,From whom did you seek help and what was the outcome? *
18,tr3,A) Wanted to help but could not offer everything I needed,From whom did you seek help and what was the outcome? *
19,tr3,"A) Wanted to help, but I did not consent to the treatment proposed",From whom did you seek help and what was the outcome? *
20,tr3,A) Was informative and helpful,From whom did you seek help and what was the outcome? *
21,tr3,B) Did not seem to want to help me,From whom did you seek help and what was the outcome? *
22,tr3,B) Does not apply to me,From whom did you seek help and what was the outcome? *
23,tr3,B) Refused to help me,From whom did you seek help and what was the outcome? *
24,tr3,B) Wanted to help but could not offer everything I needed,From whom did you seek help and what was the outcome? *
25,tr3,"B) Wanted to help, but I did not consent to the treatment proposed",From whom did you seek help and what was the outcome? *
26,tr3,B) Was informative and helpful,From whom did you seek help and what was the outcome? *
27,tr3,C) Did not seem to want to help me,From whom did you seek help and what was the outcome? *
28,tr3,C) Does not apply to me,From whom did you seek help and what was the outcome? *
29,tr3,C) Refused to help me,From whom did you seek help and what was the outcome? *
30,tr3,C) Wanted to help but could not offer everything I needed,From whom did you seek help and what was the outcome? *
31,tr3,"C) Wanted to help, but I did not consent to the treatment proposed",From whom did you seek help and what was the outcome? *
32,tr3,C) Was informative and helpful,From whom did you seek help and what was the outcome? *
33,tr4,Don`t know,"As far as you know, can a person alter his/her physical appearance through gender reassignment treatment or self-treatment (eg hormonal treatment) genital surgery, etc in the country where you live?"
34,tr4,No,"As far as you know, can a person alter his/her physical appearance through gender reassignment treatment or self-treatment (eg hormonal treatment) genital surgery, etc in the country where you live?"
35,tr4,Yes,"As far as you know, can a person alter his/her physical appearance through gender reassignment treatment or self-treatment (eg hormonal treatment) genital surgery, etc in the country where you live?"
