,question_code,answer,question_label
0,b1_a,Don`t know,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?"
1,b1_a,Fairly rare,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?"
2,b1_a,Fairly widespread,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?"
3,b1_a,Very rare,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?"
4,b1_a,Very widespread,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?"
5,b1_b,Don`t know,"In your opinion, how widespread are casual jokes in everyday life about lesbian, gay, bisexual and/or transgender people in the country you live?"
6,b1_b,Fairly rare,"In your opinion, how widespread are casual jokes in everyday life about lesbian, gay, bisexual and/or transgender people in the country you live?"
7,b1_b,Fairly widespread,"In your opinion, how widespread are casual jokes in everyday life about lesbian, gay, bisexual and/or transgender people in the country you live?"
8,b1_b,Very rare,"In your opinion, how widespread are casual jokes in everyday life about lesbian, gay, bisexual and/or transgender people in the country you live?"
9,b1_b,Very widespread,"In your opinion, how widespread are casual jokes in everyday life about lesbian, gay, bisexual and/or transgender people in the country you live?"
10,b1_c,Don`t know,"In your opinion, how widespread are expressions of hatred and aversion towards lesbian, gay, bisexual and/or transgender in public in the country where you live?"
11,b1_c,Fairly rare,"In your opinion, how widespread are expressions of hatred and aversion towards lesbian, gay, bisexual and/or transgender in public in the country where you live?"
12,b1_c,Fairly widespread,"In your opinion, how widespread are expressions of hatred and aversion towards lesbian, gay, bisexual and/or transgender in public in the country where you live?"
13,b1_c,Very rare,"In your opinion, how widespread are expressions of hatred and aversion towards lesbian, gay, bisexual and/or transgender in public in the country where you live?"
14,b1_c,Very widespread,"In your opinion, how widespread are expressions of hatred and aversion towards lesbian, gay, bisexual and/or transgender in public in the country where you live?"
15,b1_d,Don`t know,"In your opinion, how widespread are assaults and harassment against lesbian, gay, bisexual and/or transgender people in the country where you live?"
16,b1_d,Fairly rare,"In your opinion, how widespread are assaults and harassment against lesbian, gay, bisexual and/or transgender people in the country where you live?"
17,b1_d,Fairly widespread,"In your opinion, how widespread are assaults and harassment against lesbian, gay, bisexual and/or transgender people in the country where you live?"
18,b1_d,Very rare,"In your opinion, how widespread are assaults and harassment against lesbian, gay, bisexual and/or transgender people in the country where you live?"
19,b1_d,Very widespread,"In your opinion, how widespread are assaults and harassment against lesbian, gay, bisexual and/or transgender people in the country where you live?"
20,b1_e,Don`t know,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?"
21,b1_e,Fairly rare,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?"
22,b1_e,Fairly widespread,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?"
23,b1_e,Very rare,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?"
24,b1_e,Very widespread,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?"
25,b1_f,Don`t know,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?"
26,b1_f,Fairly rare,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?"
27,b1_f,Fairly widespread,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?"
28,b1_f,Very rare,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?"
29,b1_f,Very widespread,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?"
30,b1_g,Don`t know,"In your opinion, how widespread is public figures in politics, business, sports, etc being open about themselves being lesbian, gay, bisexual and/or transgender in the country where you live?"
31,b1_g,Fairly rare,"In your opinion, how widespread is public figures in politics, business, sports, etc being open about themselves being lesbian, gay, bisexual and/or transgender in the country where you live?"
32,b1_g,Fairly widespread,"In your opinion, how widespread is public figures in politics, business, sports, etc being open about themselves being lesbian, gay, bisexual and/or transgender in the country where you live?"
33,b1_g,Very rare,"In your opinion, how widespread is public figures in politics, business, sports, etc being open about themselves being lesbian, gay, bisexual and/or transgender in the country where you live?"
34,b1_g,Very widespread,"In your opinion, how widespread is public figures in politics, business, sports, etc being open about themselves being lesbian, gay, bisexual and/or transgender in the country where you live?"
35,b1_h,Don`t know,"In your opinion, how widespread are positive measures to promote respect for the human rights of lesbian, gay or bisexual people in the country where you live? *"
36,b1_h,Fairly rare,"In your opinion, how widespread are positive measures to promote respect for the human rights of lesbian, gay or bisexual people in the country where you live? *"
37,b1_h,Fairly widespread,"In your opinion, how widespread are positive measures to promote respect for the human rights of lesbian, gay or bisexual people in the country where you live? *"
