CountryName,subset,question_code,question_label,answer,percentage,weight
Austria,Lesbian,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,53.0,1.0
Austria,Lesbian,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,10.0,-1.0
Austria,Gay,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,45.0,1.0
Austria,Gay,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,16.0,-1.0
Austria,Bisexual women,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,51.0,1.0
Austria,Bisexual women,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,12.0,-1.0
Austria,Bisexual men,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,38.0,1.0
Austria,Bisexual men,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,19.0,-1.0
Austria,Transgender,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,54.0,1.0
Austria,Transgender,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,13.0,-1.0
Belgium,Lesbian,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,74.0,1.0
Belgium,Lesbian,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,4.0,-1.0
Belgium,Gay,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,76.0,1.0
Belgium,Gay,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,5.0,-1.0
Belgium,Bisexual women,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,64.0,1.0
Belgium,Bisexual women,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,6.0,-1.0
Belgium,Bisexual men,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,69.0,1.0
Belgium,Bisexual men,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,9.0,-1.0
Belgium,Transgender,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,65.0,1.0
Belgium,Transgender,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",No,9.0,-1.0
Bulgaria,Lesbian,d1,"In the country where you live, is there a law that forbids discrimination against persons because of their sexual orientation when applying for a job?",Yes,30.0,1.0
