,question_code,answer,question_label
0,e1,Don`t know,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?"
1,e1,I do not have a same-sex partner,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?"
2,e1,No,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?"
3,e1,Yes,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?"
4,e2,Don`t know,"Do you avoid certain places or locations for fear of being assaulted, threatened or harassed because you are L, G, B or T?"
5,e2,No,"Do you avoid certain places or locations for fear of being assaulted, threatened or harassed because you are L, G, B or T?"
6,e2,Yes,"Do you avoid certain places or locations for fear of being assaulted, threatened or harassed because you are L, G, B or T?"
7,e3,"A cafe, restaurant, pub, club","Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
8,e3,A park,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
9,e3,A sports club,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
10,e3,"A street, square, car parking lot or other public place","Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
11,e3,My home,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
12,e3,Other,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
13,e3,Public premises or buildings,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
14,e3,Public transport,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
15,e3,School,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
16,e3,Workplace,"Where do you avoid being open about yourself as L, G, B or T for fear of being assaulted, threatened or harassed by others?"
17,f1_a,No,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?"
18,f1_a,Yes,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?"
19,f1_b,No,"In the last 5 years, have you been: personally harassed by someone or a group for any reason in a way that really annoyed, offended or upset you - either at work, home, on the street, on public transport, in a shop, in an office or on the internet ?"
20,f1_b,Yes,"In the last 5 years, have you been: personally harassed by someone or a group for any reason in a way that really annoyed, offended or upset you - either at work, home, on the street, on public transport, in a shop, in an office or on the internet ?"
21,fa1_10,"At an LGBT specific venue (e.g. club, bar) or event (e.g. pride)",Where did the last incident of physical / sexual attack or threat of violence happen?
22,fa1_10,At my home,Where did the last incident of physical / sexual attack or threat of violence happen?
23,fa1_10,"At school, university",Where did the last incident of physical / sexual attack or threat of violence happen?
24,fa1_10,At the workplace,Where did the last incident of physical / sexual attack or threat of violence happen?
25,fa1_10,Elsewhere indoors,Where did the last incident of physical / sexual attack or threat of violence happen?
26,fa1_10,Elsewhere outdoors,Where did the last incident of physical / sexual attack or threat of violence happen?
27,fa1_10,"In a cafe, restaurant, pub, club",Where did the last incident of physical / sexual attack or threat of violence happen?
28,fa1_10,In a car,Where did the last incident of physical / sexual attack or threat of violence happen?
29,fa1_10,"In a park, forest",Where did the last incident of physical / sexual attack or threat of violence happen?
30,fa1_10,In a sports club,Where did the last incident of physical / sexual attack or threat of violence happen?
31,fa1_10,"In a street, square, car parking lot or other public place",Where did the last incident of physical / sexual attack or threat of violence happen?
32,fa1_10,In public transport,Where did the last incident of physical / sexual attack or threat of violence happen?
